service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025608,0,0,0,0,0,0,0,20161111,20161217
12280415,0,0,0,0,0,0,0,20170103,20170505
12025605,0,0,0,0,0,0,0,20161112,20161225
12280414,0,0,0,0,0,0,0,20170207,20170421
12025606,0,0,0,0,0,0,0,20161224,20161231
12280413,0,0,0,0,0,0,0,20170102,20170502
12025601,0,0,0,0,0,0,0,20161220,20161230
12280418,0,0,0,0,0,0,0,20170211,20170422
12025602,0,0,0,0,0,0,0,20161110,20161216
12280417,0,0,0,0,0,0,0,20170108,20170508
2280414,0,0,0,0,0,0,0,20170206,20170420
12025600,0,0,0,0,0,0,0,20161114,20161226
2280415,0,0,0,0,0,0,0,20170102,20170504
2280417,0,0,0,0,0,0,0,20170107,20170507
2280413,0,0,0,0,0,0,0,20170101,20170501
2280418,0,0,0,0,0,0,0,20170210,20170421
11539815,0,0,0,0,0,0,0,20170101,20170101
12280420,0,0,0,0,0,0,0,20170107,20170506
2025608,0,0,0,0,0,0,0,20161110,20161216
2025606,0,0,0,0,0,0,0,20161223,20161230
2280420,0,0,0,0,0,0,0,20170106,20170505
2025600,0,0,0,0,0,0,0,20161113,20161225
2025601,0,0,0,0,0,0,0,20161219,20161229
1539815,0,0,0,0,0,0,0,20161231,20161231
2025605,0,0,0,0,0,0,0,20161111,20161224
2025602,0,0,0,0,0,0,0,20161109,20161215
