service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12025587,0,0,0,0,0,0,0,20161114,20161226
2025589,0,0,0,0,0,0,0,20161111,20161111
12025589,0,0,0,0,0,0,0,20161112,20161112
2025587,0,0,0,0,0,0,0,20161113,20161225
2280411,0,0,0,0,0,0,0,20170210,20170421
12280400,0,0,0,0,0,0,0,20170102,20170502
2025592,0,0,0,0,0,0,0,20161109,20161215
2025593,0,0,0,0,0,0,0,20161219,20161222
2025590,0,0,0,0,0,0,0,20161226,20161229
2025596,0,0,0,0,0,0,0,20161110,20161216
2025595,0,0,0,0,0,0,0,20161112,20161231
12025599,0,0,0,0,0,0,0,20161231,20161231
12280402,0,0,0,0,0,0,0,20170417,20170508
12025598,0,0,0,0,0,0,0,20161224,20161224
12280405,0,0,0,0,0,0,0,20170103,20170505
12025596,0,0,0,0,0,0,0,20161111,20161217
2025599,0,0,0,0,0,0,0,20161230,20161230
12025595,0,0,0,0,0,0,0,20161113,20170101
12280406,0,0,0,0,0,0,0,20170207,20170421
2025598,0,0,0,0,0,0,0,20161223,20161223
12280409,0,0,0,0,0,0,0,20170107,20170506
12280408,0,0,0,0,0,0,0,20170108,20170507
12025593,0,0,0,0,0,0,0,20161220,20161223
2280405,0,0,0,0,0,0,0,20170102,20170504
2280406,0,0,0,0,0,0,0,20170206,20170420
2280402,0,0,0,0,0,0,0,20170416,20170507
2280400,0,0,0,0,0,0,0,20170101,20170501
2280409,0,0,0,0,0,0,0,20170106,20170505
2280408,0,0,0,0,0,0,0,20170107,20170506
12025592,0,0,0,0,0,0,0,20161110,20161216
12025590,0,0,0,0,0,0,0,20161227,20161230
12280411,0,0,0,0,0,0,0,20170211,20170422
