service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2025158,0,0,0,0,0,0,0,20161226,20161229
2280304,0,0,0,0,0,0,0,20170107,20170506
2280307,0,0,0,0,0,0,0,20170210,20170505
2280306,0,0,0,0,0,0,0,20170106,20170428
2280301,0,0,0,0,0,0,0,20170206,20170504
2280300,0,0,0,0,0,0,0,20170102,20170427
12280298,0,0,0,0,0,0,0,20170102,20170502
2025146,0,0,0,0,0,0,0,20161111,20161111
12280297,0,0,0,0,0,0,0,20170417,20170508
12025146,0,0,0,0,0,0,0,20161112,20161112
12025147,0,0,0,0,0,0,0,20161114,20161226
12025149,0,0,0,0,0,0,0,20161110,20161216
12280301,0,0,0,0,0,0,0,20170207,20170505
12280300,0,0,0,0,0,0,0,20170103,20170428
12025152,0,0,0,0,0,0,0,20161113,20170101
12280307,0,0,0,0,0,0,0,20170211,20170506
12025150,0,0,0,0,0,0,0,20161220,20161223
2280297,0,0,0,0,0,0,0,20170416,20170507
12280304,0,0,0,0,0,0,0,20170108,20170507
12280306,0,0,0,0,0,0,0,20170107,20170429
2280298,0,0,0,0,0,0,0,20170101,20170501
2025149,0,0,0,0,0,0,0,20161109,20161215
2025147,0,0,0,0,0,0,0,20161113,20161225
2025152,0,0,0,0,0,0,0,20161112,20161231
2025150,0,0,0,0,0,0,0,20161219,20161222
2025154,0,0,0,0,0,0,0,20161110,20161216
2025155,0,0,0,0,0,0,0,20161223,20161223
12215036,0,0,0,0,0,0,0,20161231,20161231
12025158,0,0,0,0,0,0,0,20161227,20161230
12025155,0,0,0,0,0,0,0,20161224,20161224
2215036,0,0,0,0,0,0,0,20161230,20161230
12025154,0,0,0,0,0,0,0,20161111,20161217
