service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2025118,0,0,0,0,0,0,0,20161219,20161222
2280265,0,0,0,0,0,0,0,20170101,20170501
2025119,0,0,0,0,0,0,0,20161112,20161231
12280265,0,0,0,0,0,0,0,20170102,20170502
2025114,0,0,0,0,0,0,0,20161111,20161111
2025115,0,0,0,0,0,0,0,20161109,20161215
12280267,0,0,0,0,0,0,0,20170417,20170508
12280268,0,0,0,0,0,0,0,20170103,20170428
2025117,0,0,0,0,0,0,0,20161226,20161229
2280268,0,0,0,0,0,0,0,20170102,20170427
2280267,0,0,0,0,0,0,0,20170416,20170507
2025122,0,0,0,0,0,0,0,20161110,20161216
12025122,0,0,0,0,0,0,0,20161111,20161217
2025124,0,0,0,0,0,0,0,20161223,20161223
2025123,0,0,0,0,0,0,0,20161230,20161230
12025123,0,0,0,0,0,0,0,20161231,20161231
12025124,0,0,0,0,0,0,0,20161224,20161224
2280275,0,0,0,0,0,0,0,20170106,20170428
12025114,0,0,0,0,0,0,0,20161112,20161112
12280277,0,0,0,0,0,0,0,20170211,20170506
2280277,0,0,0,0,0,0,0,20170210,20170505
12025115,0,0,0,0,0,0,0,20161110,20161216
12280275,0,0,0,0,0,0,0,20170107,20170429
2280271,0,0,0,0,0,0,0,20170206,20170504
12025112,0,0,0,0,0,0,0,20161114,20161226
2280272,0,0,0,0,0,0,0,20170107,20170506
12280271,0,0,0,0,0,0,0,20170207,20170505
12280272,0,0,0,0,0,0,0,20170108,20170507
12025118,0,0,0,0,0,0,0,20161220,20161223
12025117,0,0,0,0,0,0,0,20161227,20161230
12025119,0,0,0,0,0,0,0,20161113,20170101
2025112,0,0,0,0,0,0,0,20161113,20161225
